rank,odds,old,jockey_weight,frame_order,horse_weight
1,6.4,3,52,1,416
0,2.1,3,54,2,460
0,5.4,3,54,5,470
0,9.9,3,54,1,452
0,6.8,3,52,1,416
0,17.6,3,51,2,456
0,3.7,3,54,7,456
1,15.5,3,56,4,450
1,10.1,3,55,8,474
0,8.2,3,56,8,472
0,3.2,3,56,6,486
0,6.6,3,56,3,472
0,8.2,5,62,7,480
0,49.5,0,5,1,498
0,1.1,2,54,5,488
0,19.8,2,54,7,438
0,4.5,3,54,2,414
0,5.5,3,54,5,394
0,7.8,3,56,8,448
1,10.5,3,53,6,422
1,3.6,3,54,3,430
0,78.5,4,57,6,450
0,3.5,4,57,1,506
0,22.5,4,54,4,514
1,83.7,4,57,7,492
1,26.7,4,56,8,482
0,5.5,5,53,4,438
0,3.8,3,52,7,464
0,9.5,5,55,2,470
1,6.6,3,51,5,460
1,3.7,4,55,6,426
0,2.9,4,55,1,430
0,6.0,4,57,4,482
0,7.4,4,57,2,496
1,2.0,4,57,8,472
1,16.4,3,53,7,464
0,2.1,3,54,8,446
0,17.1,6,51,2,474
0,14.2,5,53,1,476
0,7.4,5,54,7,464
1,30.1,6,50,6,480
1,6.2,4,53,3,424
0,3.3,4,57,6,478
0,3.9,2,54,6,428
0,2.0,2,54,8,436
0,44.0,3,54,6,448
0,2.6,3,56,6,508
0,25.2,3,54,4,488
0,5.6,3,56,1,500
1,2.8,3,56,5,482
1,70.1,3,56,6,442
0,9.6,3,56,8,466
0,2.8,3,56,7,438
0,8.1,3,56,2,494
1,117.9,3,54,4,486
1,68.7,3,56,5,456
0,5.6,2,54,2,496
0,35.2,2,54,7,468
0,46.5,2,54,1,452
1,184.3,2,54,2,430
0,15.6,3,56,2,506
0,19.6,3,56,4,424
0,2.0,4,55,6,470
0,2.2,4,55,5,492
0,6.9,4,57,2,472
0,1.5,4,57,8,474
0,31.3,4,57,5,454
0,7.0,3,54,7,466
1,5.6,4,57,6,470
0,6.7,5,55,6,506
0,1.9,3,54,8,460
0,15.6,3,52,2,440
0,10.8,7,55,6,472
0,5.1,5,54,2,486
0,11.1,6,55,7,492
1,58.3,7,51,4,496
1,4.4,6,54,8,444
0,11.6,5,58,5,502
0,44.5,6,56,7,520
0,7.1,3,54,5,444
0,4.5,3,54,3,452
0,20.4,4,57,6,450
1,47.6,6,57,7,486
1,4.4,5,57,2,500
0,1.9,3,56,2,502
0,16.8,3,52,5,436
0,4.0,3,54,4,500
0,6.4,3,56,1,450
0,106.5,3,56,7,432
0,11.0,3,56,2,494
0,6.4,3,54,7,450
0,3.3,3,54,6,424
1,12.8,3,54,4,456
1,4.6,3,54,1,454
0,8.7,5,60,5,500
0,4.6,0,5,8,464
0,2.8,2,54,8,474
0,1.7,4,57,1,452
0,6.6,3,54,7,454
0,13.6,5,57,8,470
1,16.0,4,57,6,478
1,260.9,4,56,7,508
0,6.6,4,57,1,516
0,15.3,5,57,8,462
0,11.7,5,55,6,528
0,4.8,4,55,4,444
0,5.2,4,57,2,464
0,2.2,4,55,5,448
0,7.6,3,54,7,506
0,1.7,4,57,5,462
0,49.1,5,57,6,490
0,7.9,4,55,3,490
1,50.2,5,57,4,512
0,31.3,6,56,6,508
0,2.5,5,56,2,488
0,6.2,6,56,7,468
0,9.9,3,52,3,520
0,7.5,2,54,1,458
0,3.4,2,54,7,436
0,45.7,3,54,6,428
0,31.9,3,54,4,454
0,2.4,3,54,7,466
1,6.8,3,54,8,452
1,4.9,3,54,1,442
0,9.8,3,56,4,456
0,4.6,3,56,3,478
0,3.4,3,56,7,514
1,60.1,3,56,2,496
1,7.2,3,56,4,504
0,6.9,3,56,7,456
0,4.3,2,54,5,444
0,2.7,2,54,1,478
0,42.9,2,54,2,462
1,12.7,2,54,8,422
0,4.0,3,54,4,460
0,2.5,3,56,4,450
0,42.7,3,54,8,496
1,194.9,3,54,6,500
1,7.8,3,54,2,436
0,2.8,3,52,8,436
0,1.6,4,57,2,484
0,50.0,6,55,2,466
0,5.2,3,50,4,448
1,61.6,4,57,5,426
1,47.3,3,52,5,458
0,4.1,3,54,8,460
0,20.9,4,57,2,542
0,13.1,5,57,6,472
1,5.5,4,57,5,514
1,3.5,4,57,1,488
0,78.9,5,57,7,490
0,4.3,3,52,5,504
0,4.1,4,57,4,436
0,5.8,5,57,2,468
0,2.8,4,57,7,452
1,3.6,4,55,8,456
1,89.6,7,57,5,454
0,3.7,4,57,3,484
0,5.6,5,57,4,474
0,6.4,3,52,4,438
1,16.1,3,54,5,510
1,30.2,4,55,1,498
0,2.9,3,54,7,472
0,6.9,3,54,1,482
0,11.8,3,54,8,446
0,4.4,3,54,8,466
0,6.2,3,54,6,428
0,3.0,3,56,5,528
0,6.4,3,54,5,468
0,9.5,3,56,6,526
1,21.7,3,54,2,488
1,53.8,3,56,2,462
0,5.5,3,56,2,472
0,58.9,3,56,5,456
0,22.1,3,56,6,424
1,6.7,3,56,6,518
1,95.9,3,56,3,504
0,50.6,2,54,6,470
0,3.4,2,54,1,508
0,4.9,3,54,7,482
0,4.1,4,57,4,444
0,2.6,3,51,8,450
0,12.5,3,53,5,498
1,54.4,6,53,2,440
1,5.9,4,57,8,464
0,2.6,4,55,3,512
0,5.9,4,57,2,480
0,8.5,5,57,4,496
1,2.4,4,57,5,490
0,21.8,5,52,8,424
0,4.3,3,51,5,436
0,2.4,4,57,2,516
0,6.5,5,57,3,484
0,11.2,5,55,3,460
1,158.7,7,57,8,464
0,13.1,5,58,2,476
0,14.9,7,58,7,446
0,40.0,5,58,1,490
1,6.5,5,56,5,440
1,10.3,4,58,4,480
0,10.8,5,57,4,452
0,9.6,6,57,2,474
0,11.2,4,57,6,484
1,54.4,7,57,7,464
1,5.4,5,57,4,460
0,1.4,2,54,5,510
0,23.6,2,54,7,478
0,16.4,2,54,5,466
0,3.2,2,54,5,454
0,11.1,2,54,6,446
0,1.4,2,54,4,484
1,73.5,2,54,1,466
0,5.4,3,54,7,490
0,2.8,3,54,6,504
0,2.0,3,56,4,448
0,6.2,3,54,1,432
0,5.6,3,56,7,512
1,9.7,3,54,6,426
1,9.7,3,54,2,430
0,3.0,2,54,4,478
0,56.8,2,54,6,436
